hg19	rn6
FAM175B	Fam175b
SLC38A7	Slc38a7
PDHB	Pdhb
PLD3	Pld3
VGLL3	Vgll3
FGF23	Fgf23
FAM188A	Fam188a
FGF21	Fgf21
GCM1	Gcm1
SAMD4A	Samd4a
PLD5	Pld5
GTF3A	Gtf3a
FAM175A	Fam175a
TWF1	Twf1
SAMD4B	Samd4b
HEBP1	HEBP1
BCKDHB	Bckdhb
TSGA10IP	TSGA10IP
GCM2	Gcm2
TICRR	Ticrr
FAM188B	Fam188b
NUDT4	Nudt4
SEC22C	Sec22c
APTX	Aptx
HAO2	Hao2
NUDT3	Nudt3
ETNPPL	Etnppl
TWF2	Twf2
HAO1	Hao1
PGLYRP1	Pglyrp1
SMARCD3	Smarcd3
TPPP	Tppp
CENPA	Cenpa
HEBP2	Hebp2
LYPLAL1	Lyplal1
TMEM30C	Tmem30c
TPPP2	Tppp2
RSPO4	Rspo4
HAVCR2	Havcr2
SMARCD2	Smarcd2
SESN1	Sesn1
SESN2	Sesn2
SEC22A	Sec22a
POGLUT1	Poglut1
SESN3	Sesn3
TMEM30B	Tmem30b
TPPP3	Tppp3
IFNE	Ifne
SYBU	Sybu
IFNB1	Ifnb1
TMEM30A	Tmem30a
KDELC2	Kdelc2
RSPO3	Rspo3
SPOCK3	Spock3
DNASE1L1	Dnase1l1
RSPO1	Rspo1
STARD7	Stard7
KDELC1	KDELC1
TIMD4	Timd4
APPL1	Appl1
RSPO2	Rspo2
SPOCK1	Spock1
SNPH	SNPH
SMARCD1	Smarcd1
SPOCK2	Spock2
ZNF638	Zfp638
DNASE1L3	Dnase1l3
CEP164	Cep164
IFNK	Ifnk
PCTP	Pctp
SLC35D3	Slc35d3
LYPLA2	Lypla2
FGF4	Fgf4
BTD	Btd
TMEM184C	Tmem184c
APPL2	Appl2
TMEM184B	Tmem184b
DNASE1	Dnase1
FAM129A	Fam129a
SLC35B2	Slc35b2
TMEM184A	Tmem184a
STAC	Stac
STAC2	Stac2
TP73	Tp73
STAC3	Stac3
FGF5	Fgf5
SLC35B3	Slc35b3
VNN1	Vnn1
SLC35D2	Slc35d2
FGF6	Fgf6
SLC35D1	Slc35d1
PELI3	Peli3
TERF2	Terf2
SLC35B1	Slc35b1
VNN3	Vnn3
PELI1	Peli1
MUC17	Muc3
FAM129B	Fam129b
TNNT2	Tnnt2
JMJD4	Jmjd4
TERF1	Terf1
TAS1R1	Tas1r1
TP63	Tp63
ALPL	Alpl
FBXL3	Fbxl3
DNASE1L2	Dnase1l2
TNNT3	Tnnt3
FBXL21	Fbxl21
PELI2	Peli2
AKAP6	Akap6
LARS	Lars
JMJD6	Jmjd6
TAS1R3	Tas1r3
FAM129C	Fam129c
TSGA10	TSGA10
USP2	Usp2
ZC3H13	Zc3h13
CCDC168	Gm8251
FAM179A	Fam179a
NT5C3A	Nt5c3a
AASDH	Aasdh
CEP135	Cep135
C2orf71	BC027072
PREPL	Prepl
USP21	Usp21
LGALS12	Lgals12
LGALSL	Lgalsl
NT5C3B	Nt5c3b
TNNT1	Tnnt1
SS18L1	Ss18l1
ZNF318	Zfp318
ARG2	Arg2
WBSCR16	Wbscr16
FAM179B	Fam179b
DENND6A	Dennd6a
RCC2	Rcc2
GOLGA3	Golga3
LRRC47	Lrrc47
F11R	F11r
EFNB1	Efnb1
BOD1L1	Bod1l
EPHX3	Ephx3
TRANK1	Trank1
DENND6B	Dennd6b
JAM3	Jam3
HERC6	Herc6
EPHX2	Ephx2
SCRN1	Scrn1
SS18L2	Deb1
FARSB	Farsb
SS18	Ss18
MEI1	Mei1
AGMAT	Agmat
ARG1	Arg1
CTSF	Ctsf
GDPD1	Gdpd1
EPHX4	Ephx4
SCRN3	Scrn3
STXBP3	Stxbp3
EFNB2	Efnb2
SCRN2	Scrn2
JAM2	Jam2
RP1L1	Rp1l1
EFNB3	Efnb3
CTSW	Ctsw
SLC9C1	Slc9c1
PIM1	Pim1
PLEKHG6	Plekhg6
GDPD3	Gdpd3
CD40	Cd40
STXBP2	Stxbp2
PIM3	Pim3
UBASH3A	Ubash3a
H2AFY	H2afy
TNFRSF11A	Tnfrsf11a
DNMT1	Dnmt1
PIM2	Pim2
AUH	AUH
TXNL4A	Txnl4a
PLEKHG5	Plekhg5
RP1	Rp1
STXBP1	Stxbp1
TXNL4B	Txnl4b
OR12D3	Olr1868
UBASH3B	Ubash3b
TOP3A	Top3a
FRS3	Frs3
ZC3H6	Zc3h6
LTBR	Ltbr
FRS2	Frs2
SRSF12	Srsf12
PECR	Pecr
EFCAB5	Efcab5
TNFRSF1B	Tnfrsf1b
BSG	Bsg
CTSH	Ctsh
LAPTM4B	Laptm4b
PDCD4	Pdcd4
ACSL3	Acsl3
EMB	Emb
MFSD4	Mfsd4
LAPTM4A	Laptm4a
CA8	Car8
ECH1	Ech1
DECR2	Decr2
NPTN	Nptn
EPDR1	Epdr1
BBX	Bbx
LONRF2	Lonrf2
SLC16A8	Slc16a8
DECR1	Decr1
ACSL4	Acsl4
IFI30	Ifi30
SLC16A3	Slc16a3
TOP3B	Top3b
GIMAP8	Gimap8
KNDC1	Kndc1
MYOZ1	Myoz1
GIMAP5	GIMAP5
GPR26	Gpr26
KCNA5	Kcna5
MON2	Mon2
CA4	Car4
ZBTB38	Zbtb38
IRX1	Irx1
CCDC180	E230008N13Rik
LONRF1	Lonrf1
SOWAHB	Sowahb
ZC3H8	Zc3h8
GIMAP1	Gimap1
CTSG	Ctsg
PSMA6	Psma6
KCNA7	Kcna7
ZC3H4	Zc3h4
MCM4	Mcm4
GIMAP6	Gimap6
CIC	Cic
ZBTB4	Zbtb4
IRX3	Irx3
LONRF3	Lonrf3
KCNA4	Kcna4
CHRDL1	Chrdl1
MYOZ2	Myoz2
MACC1	Macc1
C2CD4D	C2cd4d
SOWAHC	Sowahc
C2CD4C	C2cd4c
MUC5B	Muc5b
FAM212B	Fam212b
COX6A2	COX6A2
GPT	Gpt
CHRD	Chrd
HNRNPM	Hnrnpm
MCM8	Mcm8
FAM212A	Fam212a
CPSF3L	Cpsf3l
CDKL2	Cdkl2
SH3BP4	Sh3bp4
SLC16A7	Slc16a7
SOWAHD	Sowahd
SLC16A1	Slc16a1
CHRDL2	Chrdl2
SREBF1	Srebf1
MEP1B	Mep1b
CDKL3	CDKL3
GPT2	Gpt2
CPSF3	Cpsf3
TAS2R3	Tas2r137
FAM159B	Fam159b
TAS2R7	Tas2r130
SIGLEC1	Siglec1
FAM159A	Fam159a
DUSP23	Dusp23
MYEF2	Myef2
SEC16A	Sec16a
KIF9	Kif9
PNRC1	Pnrc1
ZNF853	Zfp853
SREBF2	Srebf2
ACTG2	Actg2
DDX39A	DDX39A
CABP1	Cabp1
VCAM1	Vcam1
TAS2R42	Tas2r145
MEP1A	Mep1a
DDX20	Ddx20
STIM1	Stim1
DDX39B	Ddx39b
CABP5	Cabp5
CDKL1	Cdkl1
CNPY1	Cnpy1
CEP192	Cep192
CDKL4	Cdkl4
CDC14A	Cdc14a
ACTA1	Acta1
PHLDA1	Phlda1
ACTC1	Actc1
CD22	Cd22
SEC16B	Sec16b
B4GALT1	B4galt1
CAPN13	Capn13
KIF6	Kif6
STIM2	Stim2
CDC14B	Cdc14b
PHLDA2	PHLDA2
ZNF787	Zfp787
YY1	Yy1
PHLDA3	Phlda3
LARP1	Larp1
RANBP9	Ranbp9
B4GALT4	B4galt4
IGF2	Igf2
OXT	Oxt
CABP2	Cabp2
CABP4	Cabp4
B4GALT2	B4galt2
NR0B2	Nr0b2
FN1	FN1
CDK5RAP1	Cdk5rap1
CCDC129	Ccdc129
IGF1	Igf1
CALML4	Calml4
DCDC2C	Dcdc2c
PLEKHB2	Plekhb2
ANGPTL4	Angptl4
ZNF644	Zfp644
NR0B1	Nr0b1
RANBP10	Ranbp10
DGAT2	Dgat2
DCDC2	Dcdc2
PLEKHB1	Plekhb1
DCDC2B	Dcdc2b
AVP	Avp
ANGPTL3	Angptl3
UNC93A	Unc93a
KNTC1	Kntc1
CENPJ	Cenpj
PHF21B	Phf21b
SSFA2	Ssfa2
PRRX1	Prrx1
OR10D3	Olr1306
WIZ	Wiz
ERCC6L	Ercc6l
IFI35	Ifi35
TYR	Tyr
RHEB	Rheb
TMEM63C	Tmem63c
EEF2	Eef2
RAX	Rax
EFTUD2	Eftud2
NMI	Nmi
RNF165	Rnf165
RHEBL1	Rhebl1
SPRYD3	Spryd3
RNF111	Rnf111
PRR5	Prr5
TMEM63A	Tmem63a
PHF21A	Phf21a
GPR27	Gpr27
TYRP1	Tyrp1
DUOXA1	Duoxa1
CBLN2	Cbln2
PARP3	Parp3
FAM208A	D14Abb1e
DUOXA2	Duoxa2
PRR5L	Prr5l
CASS4	Cass4
GPR85	Gpr85
ERCC6	Ercc6
UHMK1	Uhmk1
DCT	Dct
RERGL	Rergl
SPEF2	Spef2
TEX15	Tex15
TMEM63B	Tmem63b
RASL12	Rasl12
PPIF	Ppif
CBLN3	Cbln3
PRRX2	Prrx2
WDR3	Wdr3
APAF1	Apaf1
PARP2	Parp2
OTP	Otp
SRSF7	Srsf7
U2AF2	U2af2
ISX	Isx
PARP1	Parp1
FAM208B	Fam208b
SRSF3	Srsf3
NEDD9	Nedd9
GTF2I	Gtf2i
CC2D2A	Cc2d2a
MSLNL	Mslnl
LRRC46	Lrrc46
CBLN1	Cbln1
TEP1	Tep1
SPIN4	Spin4
INHBB	Inhbb
SNRPN	Snurf
ERCC6L2	Ercc6l2
CBLN4	Cbln4
MSLN	Msln
INPP4B	Inpp4b
LRRC6	Lrrc6
CHODL	Chodl
CKAP2L	Ckap2l
RAD23A	Rad23a
INHBA	Inhba
RAD23B	Rad23b
PPIE	Ppie
TBL3	Tbl3
INPP4A	Inpp4a
CDKN2B	Cdkn2b
STK11	Stk11
LAYN	Layn
EFS	Efs
SOCS6	Socs6
SKAP2	Skap2
SKAP1	Skap1
SNRPB	Snrpb
INHBE	Inhbe
SOCS7	Socs7
ZDBF2	Zdbf2
CAMKK1	Camkk1
SOCS5	Socs5
BCAR1	Bcar1
C5orf42	2410089E03Rik
HAS3	Has3
CTRL	Ctrl
CDKN2A	Cdkn2a
HAS2	Has2
INHBC	Inhbc
SOCS4	Socs4
SH2D1A	Sh2d1a
CDKN2C	Cdkn2c
CLU	Clu
HAS1	Has1
NUP153	Nup153
PRDM13	Prdm13
ICA1	Ica1
CHORDC1	Chordc1
GALE	Gale
GPR156	Gpr156
AGAP3	Agap3
KCTD11	Kctd11
ITGB1BP2	Itgb1bp2
AGAP1	Agap1
TAF4	Taf4a
KCTD21	Kctd21
H2AFV	RGD1560813
ICA1L	Ica1l
TRMT10A	Trmt10a
MPPED2	Mpped2
RNF151	Rnf151
SKIV2L2	Skiv2l2
MPPED1	Mpped1
ANKFN1	Ankfn1
PWWP2B	Pwwp2b
SRCIN1	Srcin1
NEUROG1	Neurog1
CAMKK2	Camkk2
UXS1	Uxs1
PWWP2A	Pwwp2a
PRDM16	Prdm16
GBAS	Gbas
NEUROG2	Neurog2
RNF41	Rnf41
NIPSNAP1	Nipsnap1
TMEM120A	Tmem120a
NEUROG3	Neurog3
TRMT10B	Trmt10b
OR2AJ1	Olr1565
GABBR2	Gabbr2
PCSK7	Pcsk7
VWA3A	Vwa3a
NEUROD6	Neurod6
SPG11	Spg11
TMEM120B	Tmem120b
KCTD14	Kctd14
TIMM8B	Timm8b
KIAA1217	Etl4
YWHAE	Ywhae
CPA6	Cpa6
HIST1H4G	Hist1h4m
TMEM39B	Tmem39b
METAP1D	Metap1d
GABBR1	Gabbr1
MECOM	Mecom
METAP1	Metap1
SLC11A1	Slc11a1
SLC11A2	Slc11a2
HIST1H4K	HIST1H4B
TAF4B	Taf4b
KCTD4	Kctd4
TRMT10C	Trmt10c
CENPF	Cenpf
RPL10	Rpl10
CPB2	CPB2
KCTD6	Kctd6
NEUROD4	Neurod4
APOA1BP	APOA1BP
TMEM39A	Tmem39a
CNDP1	Cndp1
DUSP19	Dusp19
OR1L8	Olr418
FNDC1	Fndc1
CABLES2	Cables2
SNX13	Snx13
GPD1L	Gpd1l
WNT3A	Wnt3a
TSPAN10	Tspan10
TSPAN6	Tspan6
KIAA1549L	D430041D05Rik
FAM65B	Fam65b
CNDP2	Cndp2
QSER1	Qser1
YWHAH	Ywhah
LYZL6	Lyzl6
YWHAG	Ywhag
CABLES1	Cables1
SEL1L2	Sel1l2
NEUROD1	Neurod1
SEL1L	Sel1l
RPL10L	Rpl10l
STAB1	Stab1
YJEFN3	Yjefn3
SEL1L3	Sel1l3
ORMDL1	Ormdl1
SPACA3	Spaca3
ORMDL2	Ormdl2
ORMDL3	Ormdl3
TACC2	Tacc2
FAM65A	Fam65a
FAM131B	Fam131b
PDCD11	Pdcd11
WNT11	Wnt11
CLDN2	Cldn2
UHRF1BP1L	Uhrf1bp1l
FSHB	Fshb
ZNF106	Zfp106
LETM1	Letm1
GCN1L1	Gcn1l1
PRR12	Prr12
WNT6	Wnt6
IMPG2	Impg2
GPD1	Gpd1
WNT1	Wnt1
ASF1B	Asf1b
ZMYND11	Zmynd11
WNT3	Wnt3
SGIP1	Sgip1
ASF1A	Asf1a
POGK	Pogk
DFNB31	Dfnb31
SNX14	Snx14
WNT4	Wnt4
TACC3	Tacc3
UFSP1	Ufsp1
ATF6B	Atf6b
LETM2	Letm2
FCHO2	Fcho2
NANOS1	Nanos1
UQCRC1	Uqcrc1
PHLDB3	Phldb3
KIAA0922	D930015E06Rik
CORO6	Coro6
PRPS1L1	Prps1l1
FCHO1	Fcho1
NANOS3	Nanos3
GOLGA4	Golga4
PMM1	Pmm1
ABI3BP	Abi3bp
CD200	Cd200
CSTF2T	Cstf2t
DUSP15	Dusp15
FRRS1	Frrs1
PMM2	Pmm2
DUSP22	Dusp22
STX12	Stx12
CORO1B	Coro1b
ATF6	Atf6
GSG1L	Gsg1l
DDX50	Ddx50
TSHB	Tshb
UBE3C	Ube3c
GCSH	Gcsh
ZFYVE26	Zfyve26
HNRNPU	Hnrnpu
CSTF2	Cstf2
KIAA1549	RGD1306271
RAB9A	Rab9a
ZYG11B	Zyg11b
ARL15	Arl15
AKR1CL1	Akr1cl
ZMYND8	Zmynd8
DDHD1	Ddhd1
AP2A2	Ap2a2
SEC23IP	Sec23ip
S100A1	S100a1
PRDM10	Prdm10
TACC1	Tacc1
IMPG1	Impg1
UFSP2	Ufsp2
S100Z	S100z
PMPCB	Pmpcb
FAM65C	Fam65c
MOB3A	Mob3a
GFOD1	Gfod1
TMEM131	Tmem131
CORO1C	Coro1c
MAPKBP1	Mapkbp1
SNX25	Snx25
GFOD2	Gfod2
POLE	Pole
RFFL	RFFL
PRDM15	Prdm15
DDHD2	Ddhd2
PAX5	Pax5
KDSR	Kdsr
TNFAIP6	Tnfaip6
SYNPO2	Synpo2
AP2A1	Ap2a1
SCN1B	Scn1b
COX18	Cox18
RAB9B	Rab9b
AQP4	Aqp4
PTGER2	Ptger2
AKAP7	Akap7
UHRF1BP1	Uhrf1bp1
DSC3	Dsc3
OXA1L	Oxa1l
PRPSAP1	Prpsap1
SCN3B	Scn3b
ATP10A	Atp10a
TACSTD2	Tacstd2
PPM1G	Ppm1g
STAB2	Stab2
TMC8	Tmc8
TTC3	Ttc3
EPG5	Epg5
SLC35E1	Slc35e1
TSHZ2	Tshz2
ACTL6B	Actl6b
UBE3B	Ube3b
MOB3C	Mob3c
ISM2	Ism2
CYFIP1	Cyfip1
GLTPD1	Gltpd1
REV3L	Rev3l
F12	F12
NDFIP1	Ndfip1
CAD	Cad
TMEM87B	Tmem87b
UBA6	Uba6
PPM1D	Ppm1d
AKAP11	Akap11
MOB1B	Mob1b
ARL6	ARL6
RBBP8	Rbbp8
PHRF1	Phrf1
EPCAM	Epcam
HDLBP	Hdlbp
ZNF608	Zfp608
CDHR1	Cdhr1
USH1C	Ush1c
CORO1A	Coro1a
RNF34	Rnf34
CLDN14	Cldn14
NANOS2	Nanos2
GSG1	Gsg1
HGFAC	Hgfac
KIAA2022	RGD1561931
RAB19	Rab19
CLDN20	Cldn20
MOB2	Mob2
ZFP69	Zfp69
NME4	Nme4
CLDN19	Cldn19
ARHGAP18	Arhgap18
CDHR2	Cdhr2
MEX3B	Mex3b
MOB3B	Mob3b
RDH8	Rdh8
PDZD7	Pdzd7
ASGR2	Asgr2
KIAA1239	RGD1563065
CLDN7	Cldn7
SLC35E2B	Slc35e2b
HBE1	Hbe1
CLDN1	Cldn1
RHBDL3	Rhbdl3
TSHZ1	Tshz1
TMEM87A	Tmem87a
FIGF	Figf
CCBL2	Ccbl2
ZER1	Zer1
RAB7A	Rab7a
MOB1A	Mob1a
SMARCC1	Smarcc1
ARL1	Arl1
ZPLD1	Zpld1
RIMKLA	RIMKLA
CHAT	Chat
THEM4	Them4
GPR123	Gpr123
RNF214	Rnf214
CPS1	Cps1
ZNF469	Gm22
HSD17B1	Hsd17b1
TMEM9	TMEM9
HNRNPUL1	Hnrnpul1
PLAT	Plat
SLC39A1	Slc39a1
PTGER4	Ptger4
NME3	Nme3
TMC7	Tmc7
ENSA	Ensa
SPHKAP	Sphkap
PHLDB1	Phldb1
KIAA0368	AI314180
RBBP8NL	Rbbp8nl
LYZL4	Lyzl4
PAX2	Pax2
PTGIR	Ptgir
ZNF609	Zfp609
FLII	Flii
SCAF11	Scaf11
GMEB2	Gmeb2
GLTPD2	Gltpd2
KDM6A	Kdm6a
USPL1	Uspl1
PGPEP1L	Pgpep1l
ISM1	Ism1
PGPEP1	Pgpep1
RBMX2	Rbmx2
PHLDB2	Phldb2
VEGFC	Vegfc
PRPS1	Prps1
RFX7	Rfx7
CCBL1	Ccbl1
SFTPD	Sftpd
UBA1	Uba1
RNF121	Rnf121
TSHZ3	Tshz3
NWD1	Nwd1
DHRS13	RGD1305508
GLS2	Gls2
TMEM9B	Tmem9b
ACTL6A	Actl6a
ALKBH8	Alkbh8
DZIP3	Dzip3
SDCBP2	Sdcbp2
STK40	Stk40
SLC39A2	Slc39a2
ZYG11A	Zyg11a
ATP10B	Atp10b
GOLGB1	Golgb1
ZEB2	Zeb2
CASP14	Casp14
NDFIP2	Ndfip2
CPLX4	Cplx4
RBM5	Rbm5
AQP8	Aqp8
VILL	Vill
TECTB	Tectb
DHX33	Dhx33
ZKSCAN5	Zkscan5
RAB39A	Rab39a
BBOX1	Bbox1
ZNF444	Zfp444
CUBN	Cubn
THEM5	Them5
POLR3B	Polr3b
PRPS2	Prps2
RHBDL2	Rhbdl2
MKI67	Mki67
SNRPG	Snrpgl2
UBA7	Uba7
CYFIP2	Cyfip2
HUNK	Hunk
ARHGAP40	Arhgap40
KLHL12	Klhl12
PAX8	Pax8
IGHE	Ighe
ODF3	Odf3
BICC1	Bicc1
UBN1	Ubn1
TATDN1	Tatdn1
TAF7	Taf7
OR51G2	Olr69
RAB30	Rab30
FAM186B	Fam186b
LALBA	Lalba
SMARCC2	Smarcc2
SYNPO	Synpo
SLC7A13	Slc7a13
HRSP12	Hrsp12
KCNS1	Kcns1
RHBDL1	Rhbdl1
SDCBP	Sdcbp
BCL6B	Bcl6b
RBM6	Rbm6
POLR2D	Polr2d
IDE	Ide
GTPBP2	Gtpbp2
CPLX3	Cplx3
RIF1	Rif1
SYNPO2L	Synpo2l
ZAR1	Zar1
DSG3	Dsg3
FAM186A	RGD1561408
GPR125	Gpr125
POLR1B	Polr1b
RAB43	Rab43
FBXO8	Fbxo8
ODF3L1	Odf3l1
MEX3A	Mex3a
SLC39A3	Slc39a3
RFX5	Rfx5
KDM6B	Kdm6b
KIAA1456	RGD1304810
PHYHIPL	Phyhipl
GGA1	Gga1
RBM15B	Rbm15b
TAT	Tat
DHX8	Dhx8
CASP9	Casp9
DBP	Dbp
SLC39A12	Slc39a12
SCAF1	Scaf1
CASP12	Casp12
RPS15A	Rps15a
FAM69B	Fam69b
KLHL18	Klhl18
MEX3D	Mex3d
MYRF	Myrf
MEX3C	Mex3c
GPR124	Gpr124
DOPEY1	Dopey1
UBN2	Ubn2
CHST11	Chst11
WDR87	Wdr87
CISD2	Cisd2
IQSEC3	Iqsec3
DSG4	Dsg4
ARHGAP28	Arhgap28
CASP1	Casp1
BCL6	Bcl6
ODF3L2	Odf3l2
SGK2	Sgk2
CASP2	Casp2
KCNS3	Kcns3
OR51G1	Olr70
OXSM	Oxsm
ST3GAL5	St3gal5
COL20A1	Col20a1
PLAU	Plau
NRD1	Nrd1
ZNF334	Zfp334
RMDN2	Rmdn2
CISD1	Cisd1
KCNS2	Kcns2
IGHM	IGH-6
IQSEC2	Iqsec2
CLIP1	Clip1
NKAP	Nkap
ZNF683	Zfp683
FASN	Fasn
SBSPON	Sbspon
FCER2	Fcer2
IQSEC1	Iqsec1
SGK1	Sgk1
FAM69A	Fam69a
RMDN1	Rmdn1
TEF	Tef
PGP	Pgp
PRPSAP2	Prpsap2
RBAK	Rbak
NKX6-2	Nkx6-2
TBL1Y	Tbl1x
PPARGC1B	Ppargc1b
DHX35	Dhx35
GTPBP1	Gtpbp1
GMEB1	Gmeb1
ZNF827	Zfp827
ZEB1	Zeb1
FMO5	Fmo5
CHST13	Chst13
KDELR1	Kdelr1
RBM10	Rbm10
GGA2	Gga2
GPS1	Gps1
GPR150	Gpr150
NKAPL	Nkapl
ODF3B	Odf3b
LDHD	Ldhd
PRDM1	Prdm1
A4GALT	A4galt
WWOX	Wwox
CSNK2B	Csnk2b
ZNF12	Zfp12
TBL1XR1	Tbl1xr1
AGPS	Agps
TNRC18	Tnrc18
SVIL	Svil
CLEC10A	Clec10a
WTAP	Wtap
CXXC4	Cxxc4
PLLP	Pllp
FTMT	Ftmt
ENG	Eng
ASGR1	Asgr1
DACH1	Dach1
NKX6-1	Nkx6-1
TRIB1	Trib1
GLS	Gls
NPSR1	Npsr1
VWA1	Vwa1
IL24	Il24
IRF7	Irf7
PPP1R1A	Ppp1r1a
IRF5	Irf5
OPRM1	OPRM1
SSBP3	Ssbp3
FAF1	Faf1
POLR2B	Polr2b
SLC8B1	Slc24a6
EGFL6	Egfl6
THOC3	Thoc3
TMLHE	Tmlhe
FSTL3	Fstl3
RP11-1055B8.7	Bahcc1
ST3GAL4	St3gal4
WIF1	WIF1
MYRFL	Myrfl
CD207	Cd207
PPP1R1C	Ppp1r1c
BZRAP1	Bzrap1
STON2	Ston2
RPS4X	Rps4x
IRF6	Irf6
NME1	Nme1
GTF2A1L	Gtf2a1l
DSG2	Dsg2
CLEC4F	Clec4f
IRF3	Irf3
CLEC4G	Clec4g
SLC39A7	Slc39a7
PPARGC1A	Ppargc1a
OR6S1	Olr1637
CDS2	Cds2
SLC39A13	Slc39a13
VWDE	Vwde
GALK2	Galk2
NPNT	Npnt
CDCP2	Cdcp2
PI4K2B	Pi4k2b
SLC39A14	Slc39a14
PPEF2	Ppef2
GGA3	Gga3
HLF	Hlf
PSMB10	Psmb10
RAB5B	Rab5b
FHOD3	Fhod3
HDAC11	Hdac11
SLC7A11	Slc7a11
TGFBR3	Tgfbr3
FADS3	Fads3
KLHL10	Klhl10
GTF2A1	Gtf2a1
HMGCL	Hmgcl
CMTM8	Cmtm8
FST	Fst
KDELR2	Kdelr2
OR6X1	Olr1341
DACH2	Dach2
ZFPM1	Zfpm1
ZC3H7B	Zc3h7b
SLC7A9	Slc7a9
IL20	Il20
TLX3	Tlx3
CCT2	Cct2
SSBP4	Ssbp4
WDR72	Wdr72
ELMSAN1	Elmsan1
BRCA2	Brca2
HMGCLL1	Hmgcll1
COL15A1	COL15A1
SLC39A8	Slc39a8
CLIP2	Clip2
COLEC11	Colec11
KCNJ4	Kcnj4
PSMD6	Psmd6
NIPBL	Nipbl
COLEC10	Colec10
KDELR3	Kdelr3
GLP2R	Glp2r
LIPC	Lipc
SSBP2	Ssbp2
NME7	Nme7
PPP1R2	Ppp1r2
PNLDC1	Pnldc1
PPP1R27	Ppp1r27
ZFPM2	Zfpm2
PARN	Parn
ZNF483	Zfp483
DNASE2	Dnase2
