color	comment	eid	group	anatomy	standardized_name	type	lab
#55A354		E042	Blood & T-cell	BLOOD	Primary T helper 17 cells PMA-I stimulated	PrimaryCell	BI
#55A354		E040	Blood & T-cell	BLOOD	Primary T helper memory cells from peripheral blood 1	PrimaryCell	BI
#55A354		E037	Blood & T-cell	BLOOD	Primary T helper memory cells from peripheral blood 2	PrimaryCell	BI
#55A354		E048	Blood & T-cell	BLOOD	Primary T CD8+ memory cells from peripheral blood	PrimaryCell	BI
#55A354		E038	Blood & T-cell	BLOOD	Primary T helper naive cells from peripheral blood	PrimaryCell	BI;UCSF-UBC
#55A354		E047	Blood & T-cell	BLOOD	Primary T CD8+ naive cells from peripheral blood	PrimaryCell	BI;UCSF-UBC
#678C69		E029	HSC & B-cell	BLOOD	Primary monocytes from peripheral blood	PrimaryCell	UW
#678C69		E031	HSC & B-cell	BLOOD	Primary B cells from cord blood	PrimaryCell	BI
#678C69		E035	HSC & B-cell	BLOOD	Primary hematopoietic stem cells	PrimaryCell	BI
#678C69		E051	HSC & B-cell	BLOOD	Primary hematopoietic stem cells G-CSF-mobilized Male	PrimaryCell	BI
#678C69		E050	HSC & B-cell	BLOOD	Primary hematopoietic stem cells G-CSF-mobilized Female	PrimaryCell	BI
#678C69		E036	HSC & B-cell	BLOOD	Primary hematopoietic stem cells short term culture	PrimaryCell	BI
#678C69		E032	HSC & B-cell	BLOOD	Primary B cells from peripheral blood	PrimaryCell	UW
#678C69		E046	HSC & B-cell	BLOOD	Primary Natural Killer cells from peripheral blood	PrimaryCell	UW
#678C69		E030	HSC & B-cell	BLOOD	Primary neutrophils from peripheral blood	PrimaryCell	BI
#B65C73		E026	Mesench	STROMAL_CONNECTIVE	Bone Marrow Derived Cultured Mesenchymal Stem Cells	PrimaryCulture	BI
#B65C73		E049	Mesench	STROMAL_CONNECTIVE	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	PrimaryCulture	BI
#B65C73		E025	Mesench	FAT	Adipose Derived Mesenchymal Stem Cell Cultured Cells	PrimaryCulture	BI
#B65C73		E023	Mesench	FAT	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	PrimaryCulture	BI
#E67326		E052	Myosat	MUSCLE	Muscle Satellite Cultured Cells	PrimaryCulture	BI
#FF9D0C		E055	Epithelial	SKIN	Foreskin Fibroblast Primary Cells skin01	PrimaryCulture	UCSF-UBC
#FF9D0C		E056	Epithelial	SKIN	Foreskin Fibroblast Primary Cells skin02	PrimaryCulture	UCSF-UBC
#FF9D0C		E059	Epithelial	SKIN	Foreskin Melanocyte Primary Cells skin01	PrimaryCulture	UCSF-UBC
#FF9D0C		E061	Epithelial	SKIN	Foreskin Melanocyte Primary Cells skin03	PrimaryCulture	UCSF-UBC
#FF9D0C		E057	Epithelial	SKIN	Foreskin Keratinocyte Primary Cells skin02	PrimaryCulture	UCSF-UBC
#FF9D0C		E058	Epithelial	SKIN	Foreskin Keratinocyte Primary Cells skin03	PrimaryCulture	UCSF-UBC
#FF9D0C		E028	Epithelial	BREAST	Breast variant Human Mammary Epithelial Cells (vHMEC)	PrimaryCulture	UCSF-UBC
#FF9D0C	Bad SBS DNA Methylation dataset. mCRF DNA Methylation data is fine.	E027	Epithelial	BREAST	Breast Myoepithelial Primary Cells	PrimaryCell	UCSF-UBC
#FFD924		E054	Neurosph	BRAIN	Ganglion Eminence derived primary cultured neurospheres	PrimaryCulture	UCSF-UBC
#FFD924		E053	Neurosph	BRAIN	Cortex derived primary cultured neurospheres	PrimaryCulture	UCSF-UBC
#DAB92E		E112	Thymus	THYMUS	Thymus	PrimaryTissue	UCSD
#DAB92E		E093	Thymus	THYMUS	Fetal Thymus	PrimaryTissue	UW
#C5912B		E071	Brain	BRAIN	Brain Hippocampus Middle	PrimaryTissue	BI
#C5912B		E074	Brain	BRAIN	Brain Substantia Nigra	PrimaryTissue	BI
#C5912B		E068	Brain	BRAIN	Brain Anterior Caudate	PrimaryTissue	BI
#C5912B		E069	Brain	BRAIN	Brain Cingulate Gyrus	PrimaryTissue	BI
#C5912B		E072	Brain	BRAIN	Brain Inferior Temporal Lobe	PrimaryTissue	BI
#C5912B		E067	Brain	BRAIN	Brain Angular Gyrus	PrimaryTissue	BI
#C5912B		E073	Brain	BRAIN	Brain_Dorsolateral_Prefrontal_Cortex	PrimaryTissue	BI
#C5912B		E070	Brain	BRAIN	Brain Germinal Matrix	PrimaryTissue	UCSF-UBC
#C5912B		E082	Brain	BRAIN	Fetal Brain Female	PrimaryTissue	UCSF-UBC
#C5912B		E081	Brain	BRAIN	Fetal Brain Male	PrimaryTissue	BI
#AF5B39		E063	Adipose	FAT	Adipose Nuclei	PrimaryTissue	BI
#C2655D		E100	Muscle	MUSCLE	Psoas Muscle	PrimaryTissue	UCSD
#C2655D		E108	Muscle	MUSCLE	Skeletal Muscle Female	PrimaryTissue	BI
#C2655D		E107	Muscle	MUSCLE	Skeletal Muscle Male	PrimaryTissue	BI
#C2655D		E089	Muscle	MUSCLE	Fetal Muscle Trunk	PrimaryTissue	UW
#C2655D		E090	Muscle	MUSCLE_LEG	Fetal Muscle Leg	PrimaryTissue	UW
#D56F80		E083	Heart	HEART	Fetal Heart	PrimaryTissue	BI
#D56F80	Likely antibody issue with H3K36me3. Use this sample with extreme caution especially any chromatin states associated with H3K36me3	E104	Heart	HEART	Right Atrium	PrimaryTissue	UCSD
#D56F80		E095	Heart	HEART	Left Ventricle	PrimaryTissue	UCSD
#D56F80		E105	Heart	HEART	Right Ventricle	PrimaryTissue	UCSD
#D56F80		E065	Heart	VASCULAR	Aorta	PrimaryTissue	UCSD
#F182BC		E078	Sm. Muscle	GI_DUODENUM	Duodenum Smooth Muscle	PrimaryTissue	BI
#F182BC		E076	Sm. Muscle	GI_COLON	Colon Smooth Muscle	PrimaryTissue	BI
#F182BC		E103	Sm. Muscle	GI_RECTUM	Rectal Smooth Muscle	PrimaryTissue	BI
#F182BC		E111	Sm. Muscle	GI_STOMACH	Stomach Smooth Muscle	PrimaryTissue	BI
#C58DAA		E092	Digestive	GI_STOMACH	Fetal Stomach	PrimaryTissue	UW
#C58DAA		E085	Digestive	GI_INTESTINE	Fetal Intestine Small	PrimaryTissue	UW
#C58DAA		E084	Digestive	GI_INTESTINE	Fetal Intestine Large	PrimaryTissue	UW
#C58DAA		E109	Digestive	GI_INTESTINE	Small Intestine	PrimaryTissue	UCSD
#C58DAA		E106	Digestive	GI_COLON	Sigmoid Colon	PrimaryTissue	UCSD
#C58DAA		E075	Digestive	GI_COLON	Colonic Mucosa	PrimaryTissue	BI
#C58DAA		E101	Digestive	GI_RECTUM	Rectal Mucosa Donor 29	PrimaryTissue	BI
#C58DAA		E102	Digestive	GI_RECTUM	Rectal Mucosa Donor 31	PrimaryTissue	BI
#C58DAA		E110	Digestive	GI_STOMACH	Stomach Mucosa	PrimaryTissue	BI
#C58DAA		E077	Digestive	GI_DUODENUM	Duodenum Mucosa	PrimaryTissue	BI
#C58DAA		E079	Digestive	GI_ESOPHAGUS	Esophagus	PrimaryTissue	UCSD
#C58DAA		E094	Digestive	GI_STOMACH	Gastric	PrimaryTissue	UCSD
#999999		E099	Other	PLACENTA	Placenta Amnion	PrimaryTissue	UCSF-UBC
#999999		E086	Other	KIDNEY	Fetal Kidney	PrimaryTissue	BI
#999999		E088	Other	LUNG	Fetal Lung	PrimaryTissue	BI
#999999		E097	Other	OVARY	Ovary	PrimaryTissue	UCSD
#999999		E087	Other	PANCREAS	Pancreatic Islets	PrimaryTissue	BI;UCSF-UBC
#999999		E080	Other	ADRENAL	Fetal Adrenal Gland	PrimaryTissue	UW
#999999		E091	Other	PLACENTA	Placenta	PrimaryTissue	UW
#999999		E066	Other	LIVER	Liver	PrimaryTissue	BI
#999999	Has very weak H3K27me3.  So repressed chromatin states would be artificially lacking.	E098	Other	PANCREAS	Pancreas	PrimaryTissue	UCSD
#999999		E096	Other	LUNG	Lung	PrimaryTissue	UCSD
#999999	Has very weak H3K27me3. So Repressed chromatin states will be artificially lacking.	E113	Other	SPLEEN	Spleen	PrimaryTissue	UCSD
#000000		E114	ENCODE2012	LUNG	A549 EtOH 0.02pct Lung Carcinoma Cell Line	CellLine	BI
#000000		E115	ENCODE2012	BLOOD	Dnd41 TCell Leukemia Cell Line	CellLine	BI
#000000		E116	ENCODE2012	BLOOD	GM12878 Lymphoblastoid Cells	PrimaryCulture	BI
#000000		E117	ENCODE2012	CERVIX	HeLa-S3 Cervical Carcinoma Cell Line	CellLine	BI
#000000		E118	ENCODE2012	LIVER	HepG2 Hepatocellular Carcinoma Cell Line	CellLine	BI
#000000		E119	ENCODE2012	BREAST	HMEC Mammary Epithelial Primary Cells	PrimaryCulture	BI
#000000		E120	ENCODE2012	MUSCLE	HSMM Skeletal Muscle Myoblasts Cells	PrimaryCulture	BI
#000000		E121	ENCODE2012	MUSCLE	HSMM cell derived Skeletal Muscle Myotubes Cells	PrimaryCulture	BI
#000000		E122	ENCODE2012	VASCULAR	HUVEC Umbilical Vein Endothelial Primary Cells	PrimaryCulture	BI
#000000		E123	ENCODE2012	BLOOD	K562 Leukemia Cells	PrimaryCulture	BI
#000000		E124	ENCODE2012	BLOOD	Monocytes-CD14+ RO01746 Primary Cells	PrimaryCell	BI
#000000		E125	ENCODE2012	BRAIN	NH-A Astrocytes Primary Cells	PrimaryCulture	BI
#000000		E126	ENCODE2012	SKIN	NHDF-Ad Adult Dermal Fibroblast Primary Cells	PrimaryCulture	BI
#000000		E127	ENCODE2012	SKIN	NHEK-Epidermal Keratinocyte Primary Cells	PrimaryCulture	BI
#000000		E128	ENCODE2012	LUNG	NHLF Lung Fibroblast Primary Cells	PrimaryCulture	BI
#000000		E129	ENCODE2012	BONE	Osteoblast Primary Cells	PrimaryCulture	BI
